,Background,Revamped,Clothes,Tattoo,Shape,Mask,Item,Hair,Base,Aura,Hat,Experience,Level,Rarity score,Token Id
1549,Pixel - Piano in a Sea,False,Hoodie - Emoticon,Greek Letters,Minimal Frame,Kaiju Mecha Mask - Black,None,White,Golden,None,Straw Hat,None,None,26.47095205434955,1549
1550,Bananaz!,None,Sweater - One Shoulder Cherry Blossoms,No Tattoo,Minimal Frame,Painted Black Mask,No Item,Black,Golden,No Aura Plain,Bucket Hat Yellow,None,None,56.61553368070159,1550
1551,Japanese Motif - Pink,False,Bomber - Black,None,Minimal Frame,Motorcycle Helmet - Roughed,None,Red,Beige,Night,None,None,None,1.7181269511782529,1551
1552,Pixel - Piano in a Sea,False,Bomber - Golden,None,Square Frame,Mascot - UwU cat,None,Black,Porcelain,None,None,0.0,1.0,46.14417053892877,1552
1553,Painted Brush,True,Bomber - Black,Seven,Circle Frame,Mascot - UwU cat,None,Red,Beige,Night,None,None,None,27.445512329953875,1553
1554,Japanese Motif - Pink,None,Shirt - Taped Banana,Crossed Out,Square Frame,Scarred Skull,Gold Katana,Black,Porcelain,No Aura,Bucket Hat Black,None,None,61.62707945507393,1554
1555,Painted Brush,False,Shirt - Taped Banana,None,Square Frame,Hype Red Mask,None,Black,Beige,None,Bucket Hat Yellow,None,None,9.194798235891993,1555
1556,Japanese Motif - Pink,False,Bomber - Black,None,Minimal Frame,Scarred Skull,Red Monkey Staff,Orange-Red,Espresso,No Aura Plain,Rice Hat - Kintsugi,None,None,28.183907686539406,1556
1557,Red,True,Hoodie - Tongue,Sakura Petal,Circle Frame,Game Helmet - Shiba Inu,Metal Pipe,Orange-Red,Beige,No Aura Plain,None,None,None,49.11094389771291,1557
1558,Pixel - Piano in a Sea,None,Bomber - Black,Star,Square Frame,Motorcycle Helmet - Roughed,Red Space Fork,Orange-Red,Espresso,Light,No Hat,None,None,58.334200837338855,1558
1559,Bananaz!,None,Bomber - Black,Emoticon,Minimal Frame,Sevens Japanese Mask,Banana,White,Porcelain,No Aura Plain,Beanie - Orange,None,None,57.41450982400057,1559
1560,Night Sky,None,Bomber - Black,Flame,Minimal Frame,Mascot - UwU cat,Chef Knife,Yellow,Porcelain,Night,No Hat,None,None,50.070845936956275,1560
1561,Bananaz!,False,Sweater - Space,Emoticon,Square Frame,Mascot - UwU cat,Yellow Katana,Yellow,Beige,Night,None,None,None,29.1035507926229,1561
1562,Shooting Stars,False,Bomber - Black,Attached Diamonds,Minimal Frame,Painted Black Mask,None,Red,Beige,None,None,None,None,16.341259942128428,1562
1563,Pixel - Piano in a Sea,False,Sweater - Cherry Blossoms,None,Minimal Frame,Kaiju Mecha Mask - White,None,Orange-Red,Porcelain,None,Hat - HERO hat,0.0,1.0,53.859280450363464,1563
1564,Red,False,Shirt - Isekai Postal,None,Circle Frame,Akuma Half Mask - Black,Metal Pipe,Yellow,Beige,Night,Bucket Hat Black,None,None,22.476370024586696,1564
1565,Painted Brush,False,Sweater - Cherry Blossoms,None,Minimal Frame,Sevens Japanese Mask,Banana,White,Porcelain,Night,Hat - 7 Black,None,None,21.627617484609495,1565
1566,Japanese Motif - Blue,False,Sweater - Cherry Blossoms,Emoticon,Minimal Frame,Golden Chain Skull,Yellow Katana,Red,Golden,Night,None,None,None,30.2930755165075,1566
1567,Pixel - Day on an Island,False,Shirt - Sevens Block,Emoticon,Circle Frame,Mascot - UwU cat,Metal Pipe,Orange-Red,Beige,Light,None,None,None,35.52757297520539,1567
1568,Pixel - Day on an Island,False,Shirt 7 - White,None,Square Frame,Mascot - Joyful cat,Chef Knife,Orange-Red,Beige,None,None,None,None,15.48210460950265,1568
1569,Japanese Motif - Blue,True,Shirt 7 - Black,None,Minimal Frame,Elder Skull,None,Yellow,Golden,None,Rice Hat - Kintsugi,None,None,22.256591565294002,1569
1570,Light Blue,False,Shirt 7 - Black,None,Square Frame,Beak Mask - Metal,None,Yellow,Espresso,Light,Bucket Hat Red Kumo Motif,0.0,1.0,56.263450367021186,1570
1571,Light Blue,False,Sweater - Black and Orange,None,Circle Frame,Lightning Mask,Red Space Fork,Yellow,Espresso,Night,Bucket Hat Red Kumo Motif,None,None,23.228571793638416,1571
1572,Bananaz!,False,Kimono - Blue Green,None,Circle Frame,Mascot - Shiba Inu,None,Orange-Red,Beige,None,None,None,None,2.993574450999109,1572
1573,Light Blue,False,Hoodie - Tongue,Constellation,Minimal Frame,Mascot - Shiba Inu,None,Orange-Red,Porcelain,Light,None,None,None,22.857162065237034,1573
1574,Pixel - Piano in a Sea,False,Kimono - Sunflower,Seven,Square Frame,Fox Mask - LED Scarred,None,Red,Porcelain,None,Beanie - White,None,None,23.93967077921715,1574
1575,Pixel - Piano in a Sea,False,Sweater - Cherry Blossoms,Heart 7,Minimal Frame,Petrified Skull,None,Black,Espresso,None,Hat - 7 Black,None,None,25.312201388888454,1575
1576,Bananaz!,False,Sweater - One Shoulder Cherry Blossoms,None,Square Frame,LED Japanese Mask,None,Yellow,Espresso,Night,Bucket Hat Red SH777SH,0.0,1.0,53.58554708562963,1576
1577,Sakura Tree,False,Shirt 7 - Black,Heart 7,Minimal Frame,Mascot - UwU cat,Metal Monkey Staff,Black,Beige,Night,None,None,None,30.806074604303728,1577
1578,Night Sky,False,Shirt - Sevens Block,Greek Letters,Square Frame,Mecha Bird - Seagull,Chef Knife,Yellow,Golden,Night,None,0.0,1.0,73.30785939187878,1578
1579,Japanese Motif - Pink,False,Sweater - One Shoulder Cherry Blossoms,Seven,Square Frame,Full Face Mask - Red Stop,Banana,White,Beige,None,Bucket Hat Black,0.0,1.0,79.4514405018117,1579
1580,Pixel - Day on an Island,False,Sweater - One Shoulder Blue Demon,None,Circle Frame,Beak Mask - Darkened,None,White,Beige,Light,Hat - 7 Wave,None,None,17.144563506685625,1580
1581,Light Blue,True,Shirt - Isekai Postal,Kanji,Minimal Frame,Petrified Demon Mask,Yellow Katana,Red,Beige,No Aura Plain,Bucket Hat Black,None,None,56.56088667920544,1581
1582,Painted Brush,False,Bomber - Black,None,Minimal Frame,Lion - Fire Breath,Black Scythe,Yellow,Golden,None,Beanie - Yellow,None,None,22.07465759669293,1582
1583,Japanese Motif - Yellow,True,Shirt - Japanese Black,None,Square Frame,Akuma Half Mask - Black,None,Orange-Red,Porcelain,Night,Bucket Hat White Kumo Motif,None,None,23.04957222140463,1583
1584,Japanese Motif - Yellow,False,Sweater - Cherry Blossoms,Crossed Out,Square Frame,Lightning Mask,None,Black,Espresso,None,Rice Hat - Shadow,0.0,1.0,66.03564820877841,1584
1585,Bananaz!,False,Hoodie - Emoticon,Constellation,Minimal Frame,Lightning Mask,Maple Branch,White,Porcelain,No Aura Plain,Rice Hat - Sunflower,0.0,1.0,87.26149407596395,1585
1586,Night Sky,False,Shirt - Sevens Block,None,Minimal Frame,Lightning Mask,None,Yellow,Beige,Night,Bucket Hat White,0.0,1.0,52.081375136856046,1586
1587,Light Blue,True,Bomber - Black,Greek Letters,Square Frame,Fox Mask - LED Scarred,None,Black,Golden,None,Hat - Emoticon Black,None,None,37.29518730344097,1587
1588,Japanese Motif - Blue,True,Hoodie - Fire Heart,None,Square Frame,Mascot - Joyful cat,Yellow Katana,Black,Beige,Night,None,None,None,29.321177435783515,1588
1589,Painted Brush,None,Hoodie - Painted,No Tattoo,Square Frame,Fox Mask - Scarred,Banana,White,Espresso,Light,Beanie - Black,None,None,57.10921599585309,1589
1590,Painted Brush,False,Shirt - Japanese Black,Greek Letters,Minimal Frame,Full Face Mask - Red Stop,None,Black,Porcelain,Light,Hat - Emoticon Black,None,None,30.475956507312237,1590
1591,Pixel - Piano in a Sea,True,Shirt - Taped Banana,None,Square Frame,LED Japanese Mask,Dark Chef Knife,White,Golden,None,Beanie - Yellow,None,None,37.19361780078906,1591
1592,Night Sky,False,Lab Coat,None,Circle Frame,Fox Mask - Kintsugi,Red Katana,Red,Beige,Night,Beanie - White,0.0,1.0,65.92960304947532,1592
1593,Pixel - Day on an Island,False,Hoodie - One Shoulder Yin Yang,Crossed Out,Circle Frame,Hype Black Mask,None,Red,Espresso,None,Rice Hat - Shadow,None,None,23.95507413749846,1593
1594,Japanese Motif - Blue,False,Bomber - Black,Seven,Square Frame,Full Face Mask - Red Stop,None,Yellow,Espresso,No Aura Plain,Rice Hat - Shadow,0.0,1.0,71.9915742144795,1594
1595,Bananaz!,True,Kimono - Sunflower,None,Square Frame,Fox Mask - Scarred,Red Katana,Red,Espresso,Night,Beanie - Gray,None,None,36.16736687979048,1595
1596,Night Sky,False,Kimono - Blue Green,None,Circle Frame,Full Face Mask - ???,Gold Pipe,Yellow,Porcelain,None,Bucket Hat Akuma,None,None,24.1381345437826,1596
1597,Red,False,Hoodie - One Shoulder Lotus,None,Square Frame,Red-eyed Owl,Banana,Red,Beige,Night,Straw Hat,0.0,1.0,65.37570447585573,1597
1598,Light Blue,False,Hoodie - One Shoulder Lotus,None,Minimal Frame,Mascot - UwU cat,Red Scythe,Black,Golden,Night,None,None,None,14.984335307417213,1598
1599,Japanese Motif - Yellow,False,Shirt 7 - White,Sakura Petal,Square Frame,Full Face Mask - ???,None,White,Espresso,None,Bucket Hat Black,None,None,23.060527663947635,1599
1600,Bananaz!,False,Hoodie - Fire Heart,Greek Letters,Square Frame,Mascot - UwU cat,None,Red,Beige,Night,None,0.0,1.0,60.40036041014732,1600
1601,Pixel - Piano in a Sea,False,Hoodie - Fire Heart,None,Circle Frame,Painted Black Mask,None,Orange-Red,Beige,Light,Bucket Hat Painted,0.0,1.0,59.323032453360625,1601
1602,Japanese Motif - Yellow,False,Hoodie - One Shoulder Lotus,Heart 7,Minimal Frame,Fox Mask - Scarred,None,White,Porcelain,No Aura Plain,Beanie - Aqua,None,None,31.965051819678347,1602
1603,Bananaz!,False,Shirt 7 - Black,None,Square Frame,Lion - Fire Mustache,Maple Branch,Black,Beige,No Aura Plain,Bucket Hat Red Kumo Motif,None,None,28.331226130167025,1603
1604,Shooting Stars,False,Sweater - Space,None,Minimal Frame,Painted Black Mask,Dark Chef Knife,White,Golden,None,Bucket Hat Black,None,None,22.96919756946465,1604
1605,Red,False,Sweater - Space,Sakura Petal,Circle Frame,Game Helmet - Shiba Inu,None,Black,Golden,Night,None,None,None,16.926074158520848,1605
1606,Red,False,Shirt 7 - White,None,Square Frame,Petrified Skull,Metal Monkey Staff,Black,Beige,No Aura Plain,Bucket Hat White Kumo Motif,0.0,1.0,69.41532029275164,1606
1607,Japanese Motif - Blue,False,Bomber - Black,Flame,Square Frame,Motorcycle Helmet - Black,None,Orange-Red,Espresso,Light,None,None,None,21.444175015937414,1607
1608,Red,True,Monk,Emoticon,Square Frame,Game Helmet - Silhouette,None,Red,Golden,Night,None,None,None,30.337622554779482,1608
1609,Pixel - Piano in a Sea,False,Sweater - Space,Seven,Minimal Frame,Mascot - Shiba Inu,Yellow Katana,Orange-Red,Porcelain,Light,None,0.0,1.0,77.93196903943902,1609
1610,Japanese Motif - Yellow,None,Hoodie - One Shoulder Yin Yang,Flame,Circle Frame,Scarred Skull,Red Scythe,Black,Beige,Night,Hat - Painted,None,None,52.91720143962788,1610
1611,Shooting Stars,False,Sweater - Cherry Blossoms,Sakura Petal,Circle Frame,Mascot - Shiba Inu,None,Orange-Red,Golden,Night,None,None,None,16.864910949472076,1611
1612,Japanese Motif - Blue,True,Shirt 7 - White,None,Circle Frame,Fox Mask - Kintsugi,Metal Monkey Staff,Red,Porcelain,No Aura Plain,Beanie - White,None,None,41.31541720102204,1612
1613,Light Blue,True,Sweater - Black and Orange,None,Minimal Frame,Mascot - UwU cat,None,Orange-Red,Beige,Light,None,None,None,20.9956344141156,1613
1614,Painted Brush,True,Shirt - Isekai Postal,Constellation,Circle Frame,Red-eyed Owl,None,Black,Espresso,None,Beanie - Black,None,None,37.07173803954628,1614
1615,Painted Brush,False,Shirt 7 - Black,None,Minimal Frame,Kintsugi Skull,None,White,Beige,Night,Rice Hat - Sunflower,None,None,8.27014517300094,1615
1616,Pixel - Piano in a Sea,False,Lab Coat,Seven,Circle Frame,Game Helmet - Silhouette,Metal Monkey Staff,Orange-Red,Beige,None,None,None,None,29.494773223091382,1616
1617,Japanese Motif - Pink,False,Shirt 7 - White,Crossed Out,Minimal Frame,Full Mask,Dark Katana,Yellow,Porcelain,None,Hat - HERO hat,None,None,35.360014017399315,1617
1618,Shooting Stars,False,Sweater - Kintsugi,None,Minimal Frame,Game Helmet - Shiba Inu,None,Orange-Red,Beige,Night,None,None,None,2.653194442742203,1618
1619,Light Blue,False,Sweater - Space,Heart 7,Circle Frame,Scarred Skull,None,White,Espresso,Night,Rice Hat - Sunflower,None,None,24.072247487035128,1619
1620,Painted Brush,False,Shirt - Sevens Block,Attached Diamonds,Square Frame,Full Face Mask - Red Stop,Red Monkey Staff,Black,Beige,None,Bucket Hat Official,None,None,37.3065195640343,1620
1621,Red,False,Shirt 7 - Black,Black Flames,Circle Frame,Elder Skull,None,Orange-Red,Porcelain,No Aura Plain,Bucket Hat Black,None,None,28.52433052240211,1621
1622,Pixel - Piano in a Sea,False,Hoodie - Sunflowers,Seven,Circle Frame,Full Face Mask - Double Line,Metal Pipe,Black,Beige,None,Straw Hat,None,None,37.0523972008659,1622
1623,Colorful Clouds,False,Hoodie - One Shoulder Fire,Crossed Out,Circle Frame,Mascot - UwU cat,None,Black,Porcelain,None,None,None,None,16.381823085057505,1623
1624,Night Sky,False,Sweater - Kintsugi,Attached Diamonds,Square Frame,Beak Mask - Metal,Sakura Branch,Black,Porcelain,None,Bucket Hat White,0.0,1.0,80.31519845296802,1624
1625,Painted Brush,False,Bomber - Black,Crossed Out,Square Frame,Mecha Bird - Red-Eyed Crow,Black Scythe,Black,Golden,None,None,0.0,1.0,70.86325846528331,1625
1626,Colorful Clouds,False,Hoodie - Tongue,Emoticon,Square Frame,Fox Mask - LED Scarred,Sakura Branch,Red,Espresso,Night,Beanie - White,None,None,38.62797894468331,1626
1627,Light Blue,False,Sweater - One Shoulder Cherry Blossoms,None,Minimal Frame,Lion - Fire Breath,None,Black,Porcelain,None,Beanie - White,None,None,10.165759564294845,1627
1628,Colorful Clouds,False,Monk,None,Square Frame,Red-eyed Owl,None,White,Golden,Night,Hat - 7 Black,None,None,11.329951689523545,1628
1629,Light Blue,False,Hoodie - Painted,None,Circle Frame,Mascot - Shiba Inu,Dark Katana,Black,Porcelain,Light,None,None,None,21.50033911364234,1629
1630,Red,False,Bomber - Black,None,Minimal Frame,Lion - Fire Breath,None,Orange-Red,Porcelain,No Aura Plain,Beanie - White,None,None,15.360457247216647,1630
1631,Bananaz!,None,Shirt - Isekai Postal,Flame,Minimal Frame,Mascot - UwU cat,No Item,Black,Porcelain,No Aura,No Hat,None,None,59.39502092965555,1631
1632,Night Sky,None,Bomber - Black,No Tattoo,Circle Frame,Scarred Skull,Sakura Branch,Yellow,Porcelain,Night,Straw Hat,None,None,50.1011798988794,1632
1633,Red,True,Kimono - Sunflower,Heart 7,Circle Frame,Hype Red Mask,None,Black,Espresso,Night,Rice Hat - Package,None,None,37.691748097664856,1633
1634,Light Blue,True,Shirt - Japanese Black,Constellation,Square Frame,Full Face Mask - Double Line,Metal Pipe,Yellow,Porcelain,Night,Hat - 7 Black,None,None,50.259609146596716,1634
1635,Bananaz!,False,Bomber - White and Blue,None,Minimal Frame,Beak Mask - Metal,None,White,Golden,No Aura Plain,None,0.0,1.0,51.98429067694581,1635
1636,Painted Brush,True,Hoodie - One Shoulder Yin Yang,None,Minimal Frame,Motorcycle Helmet - Black,None,Black,Beige,Light,None,None,None,21.382029190722616,1636
1637,Light Blue,True,Hoodie - One Shoulder Yin Yang,Black Flames,Circle Frame,Lightning Mask,Yellow Katana,Red,Beige,No Aura Plain,Rice Hat - Package,None,None,56.43898077679518,1637
1638,Shooting Stars,False,Shirt - Pixel,Sakura Petal,Circle Frame,Lightning Mask,None,White,Golden,Night,Bucket Hat White Kumo Motif,None,None,24.07209423471852,1638
1639,Japanese Motif - Yellow,False,Kimono - Blue Green,None,Circle Frame,Beak Mask - Metal,Red Monkey Staff,Yellow,Espresso,No Aura Plain,Hat - HERO hat,0.0,1.0,72.30160208526935,1639
1640,Light Blue,False,Hoodie - Painted,None,Circle Frame,Red-eyed Owl,None,Yellow,Beige,Night,Beanie - Black,None,None,9.20539210038168,1640
1641,Painted Brush,True,Shirt - Japanese Black,Flame,Square Frame,Painted Lion Mask,Dark Katana,Black,Golden,Night,Bucket Hat Official,None,None,50.376298812138465,1641
1642,Bananaz!,True,Sweater - Space,Emoticon,Square Frame,Motorcycle Helmet - Roughed,Red Scythe,Black,Porcelain,No Aura Plain,None,None,None,49.736011159370904,1642
1643,Japanese Motif - Pink,False,Kimono - Blue Green,None,Circle Frame,Mecha Bird - Seagull,None,White,Golden,No Aura Plain,None,None,None,9.713390564738358,1643
1644,Light Blue,True,Shirt - Isekai Postal,None,Circle Frame,Emoticon Owl,Red Space Fork,White,Beige,Night,Bucket Hat White,None,None,36.21289432701419,1644
1645,Japanese Motif - Yellow,False,Shirt 7 - White,Seven,Circle Frame,Mascot - Shiba Inu,None,Yellow,Beige,Light,None,None,None,20.43295997925915,1645
1646,Red,True,Shirt - Japanese Black,None,Minimal Frame,Fox Mask - Emoticon,Black Scythe,Black,Beige,Light,Hat - Painted,None,None,41.31527052569447,1646
1647,Pixel - Piano in a Sea,True,Kimono - Sunflower,None,Circle Frame,Beak Mask - Gold,None,Black,Espresso,None,Bucket Hat White Kumo Motif,None,None,24.19297683955909,1647
1648,Painted Brush,False,Shirt 7 - White,Sakura Petal,Square Frame,Hype Red Mask,None,Black,Golden,None,Bucket Hat Official,None,None,21.98795618520064,1648
1649,Japanese Motif - Blue,False,Sweater - Space,Attached Diamonds,Circle Frame,Lightning Mask,Yellow Katana,Black,Espresso,None,Bucket Hat Painted,0.0,1.0,80.41178114856037,1649
1650,Japanese Motif - Blue,False,Shirt 7 - White,None,Square Frame,Kaiju Mecha Mask - White,Gold Katana,Yellow,Golden,Light,Hat - Emoticon Black,None,None,28.57009545707394,1650
1651,Shooting Stars,False,Lab Coat,None,Circle Frame,Hype Black Mask,None,Black,Porcelain,Night,Bucket Hat Black,None,None,9.317247454718144,1651
1652,Japanese Motif - Yellow,True,Bomber - White and Blue,Star,Circle Frame,Full Face Mask - Double Line,Yellow Katana,Black,Beige,Light,Hat - HERO hat,None,None,56.8151005442523,1652
1653,Light Blue,False,Hoodie - One Shoulder Fire,None,Minimal Frame,Mascot - UwU cat,Chef Knife,Orange-Red,Porcelain,Light,None,None,None,20.29553957497439,1653
1654,Night Sky,False,Sweater - One Shoulder Cherry Blossoms,Crossed Out,Square Frame,Hype Red Mask,None,Black,Espresso,None,Bucket Hat White,None,None,22.419946605315566,1654
1655,Bananaz!,False,Monk,Star,Square Frame,Hype Black Mask,None,Orange-Red,Golden,Night,Rice Hat - Shadow,None,None,25.103867954086144,1655
1656,Japanese Motif - Pink,False,Sweater - Cherry Blossoms,Seven,Circle Frame,Scarred Skull,Red Monkey Staff,Black,Golden,None,Bucket Hat Official,None,None,35.827564131322944,1656
1657,Japanese Motif - Pink,False,Shirt 7 - Black,None,Circle Frame,Kaiju Mecha Mask - Black,None,Yellow,Espresso,Night,Bucket Hat Painted,None,None,8.941165460086902,1657
1658,Japanese Motif - Blue,True,Shirt - Pixel,Attached Diamonds,Circle Frame,Game Helmet - Silhouette,Metal Pipe,Red,Golden,No Aura Plain,None,None,None,50.26971341029378,1658
1659,Shooting Stars,True,Lab Coat,Kanji,Square Frame,Beak Mask - Metal,None,Yellow,Beige,Night,Bucket Hat Red Kumo Motif,None,None,38.15413858499434,1659
1660,Pixel - Day on an Island,False,Sweater - One Shoulder Cherry Blossoms,Greek Letters,Minimal Frame,Hype Black Mask,None,Orange-Red,Beige,Light,Rice Hat - Sunflower,None,None,31.385613696373955,1660
1661,Painted Brush,False,Shirt 7 - Black,Constellation,Minimal Frame,Painted Lion Mask,None,Black,Beige,None,Hat - 7 White,None,None,23.26898674947582,1661
1662,Japanese Motif - Yellow,True,Bomber - White and Blue,None,Circle Frame,Motorcycle Helmet - Roughed,None,Yellow,Beige,No Aura Plain,None,None,None,22.266665316722495,1662
1663,Red,True,Shirt - Pixel,Greek Letters,Square Frame,Kaiju Mecha Mask - Black,Maple Branch,Orange-Red,Espresso,No Aura Plain,Bucket Hat Official,None,None,58.09085595679403,1663
1664,Night Sky,True,Sweater - Cherry Blossoms,None,Square Frame,Painted Black Mask,None,Yellow,Porcelain,Night,Rice Hat - Shadow,None,None,23.110540806035715,1664
1665,Red,False,Sweater - Cherry Blossoms,None,Minimal Frame,Scarred Skull,None,Yellow,Golden,No Aura Plain,Bucket Hat White Kumo Motif,None,None,15.207953780352579,1665
1666,Bananaz!,None,Shirt - Japanese Black,No Tattoo,Minimal Frame,Sevens Japanese Mask,Black Scythe,Black,Golden,No Aura,Hat - HERO hat,None,None,59.634326752516564,1666
1667,Japanese Motif - Yellow,None,Sweater - Black and Orange,Black Flames,Circle Frame,Scarred Skull,Black Scythe,White,Porcelain,Light,No Hat,None,None,58.06475284162027,1667
1668,Red,False,Sweater - One Shoulder Blue Demon,Flame,Minimal Frame,Beak Mask - Metal,Banana,Yellow,Espresso,Night,Hat - HERO hat,0.0,1.0,79.71590307794469,1668
1669,Japanese Motif - Pink,True,Sweater - Black and Orange,None,Circle Frame,Petrified Demon Mask,None,Yellow,Porcelain,Night,Hat - 7 Black,None,None,24.076364983087544,1669
1670,Japanese Motif - Pink,True,Kimono - Eth Checkered,None,Minimal Frame,Fox Mask - Scarred,None,Black,Porcelain,Night,Bucket Hat White Kumo Motif,None,None,23.877988359965535,1670
1671,Light Blue,False,Kimono - Eth Checkered,Constellation,Square Frame,Motorcycle Helmet - Black,None,Black,Beige,No Aura Plain,None,None,None,23.385594300224327,1671
1672,Japanese Motif - Pink,None,Lab Coat,No Tattoo,Circle Frame,Akuma Half Mask - White,No Item,Black,Golden,Night,Bucket Hat White Kumo Motif,None,None,50.64945904629072,1672
1673,Bananaz!,False,Sweater - Kintsugi,None,Minimal Frame,Mascot - UwU cat,None,Yellow,Espresso,None,None,None,None,2.2819452440704557,1673
1674,Night Sky,False,Shirt 7 - White,None,Minimal Frame,Emoticon Owl,Metal Monkey Staff,White,Golden,Night,Beanie - Gray,None,None,21.20048163682061,1674
1675,Pixel - Day on an Island,None,Shirt - Pixel,No Tattoo,Minimal Frame,Full Face Mask - Double Line,No Item,Red,Golden,Light,Beanie - Aqua,None,None,57.250766926983474,1675
1676,Japanese Motif - Pink,False,Bomber - White and Blue,None,Circle Frame,Kintsugi Skull,Dark Katana,Yellow,Porcelain,Night,Hat - 7 Wave,None,None,24.245152749958972,1676
1677,Japanese Motif - Blue,True,Kimono - Blue Green,None,Minimal Frame,Petrified Demon Mask,None,Red,Beige,Night,Bucket Hat Yellow,None,None,23.50197174312206,1677
1678,Light Blue,False,Kimono - Eth Checkered,None,Square Frame,Hype Red Mask,None,Yellow,Golden,Night,Rice Hat - Package,0.0,1.0,52.68101249723771,1678
1679,Colorful Clouds,None,Sweater - One Shoulder Blue Demon,Black Flames,Minimal Frame,Motorcycle Helmet - Roughed,No Item,Red,Beige,No Aura,No Hat,None,None,61.21429610558855,1679
1680,Japanese Motif - Blue,False,Hoodie - Kintsugi 7,Constellation,Minimal Frame,Kaiju Mecha Mask - White,Red Katana,Orange-Red,Beige,Night,None,0.0,1.0,73.74522581649252,1680
1681,Pixel - Piano in a Sea,True,Shirt 7 - White,None,Minimal Frame,Motorcycle Helmet - Black,None,White,Beige,None,None,None,None,14.642291361830054,1681
1682,Night Sky,False,Shirt 7 - White,None,Minimal Frame,Red-eyed Owl,Red Space Fork,Orange-Red,Espresso,Night,Beanie - Black,None,None,21.058173948408733,1682
1683,Colorful Clouds,True,Hoodie - One Shoulder Fire,None,Square Frame,Elder Skull,None,Black,Espresso,Light,Rice Hat - White,None,None,30.886643942336732,1683
1684,Night Sky,True,Shirt - Sevens Block,None,Minimal Frame,Painted Owl mask,Chef Knife,Yellow,Beige,Night,Rice Hat - Shadow,None,None,35.37413424794429,1684
1685,Painted Brush,True,Shirt 7 - Black,Heart 7,Circle Frame,Fox Mask - Emoticon,None,Red,Espresso,Light,Rice Hat - Blue,0.0,1.0,85.6610560508754,1685
1686,Japanese Motif - Blue,True,Hoodie - Kintsugi 7,Crossed Out,Minimal Frame,Red-eyed Owl,Metal Monkey Staff,Yellow,Golden,Night,Beanie - Aqua,None,None,49.34475093933135,1686
1687,Pixel - Day on an Island,True,Sweater - Space,None,Circle Frame,Full Face Mask - X,None,Black,Porcelain,None,Beanie - Gray,None,None,24.914718328641342,1687
1688,Shooting Stars,False,Shirt - Japanese Black,Seven,Square Frame,Motorcycle Helmet - White,Chef Knife,White,Beige,None,None,None,None,28.381589988873234,1688
1689,Pixel - Piano in a Sea,True,Kimono - Sunflower,None,Minimal Frame,Game Helmet - Shiba Inu,None,Orange-Red,Beige,None,None,None,None,16.416078299140473,1689
1690,Light Blue,False,Shirt - Japanese Black,Seven,Minimal Frame,Full Face Mask - X,None,Yellow,Golden,Night,Beanie - Painted,None,None,22.83205679871032,1690
1691,Light Blue,None,Shirt - Isekai Postal,Seven,Square Frame,Demon Fire Mask,No Item,Orange-Red,Porcelain,No Aura,Hat - Emoticon Black,None,None,60.1985590707067,1691
1692,Bananaz!,False,Shirt 7 - Black,Heart 7,Square Frame,Petrified Skull,None,Red,Golden,None,Hat - HERO hat,0.0,1.0,66.26440015442958,1692
1693,Pixel - Piano in a Sea,False,Shirt - Pixel,Seven,Square Frame,Lightning Mask,Metal Monkey Staff,Red,Golden,Light,Rice Hat - Shadow,None,None,42.42421848215529,1693
1694,Night Sky,False,Bomber - Black,Crossed Out,Square Frame,Sevens Japanese Mask,None,Red,Beige,Night,Beanie - Painted,None,None,20.803944820816877,1694
1695,Pixel - Piano in a Sea,True,Hoodie - Tongue,Heart 7,Minimal Frame,Beak Mask - Darkened,None,White,Porcelain,Light,Hat - Painted,None,None,44.62355750194457,1695
1696,Japanese Motif - Blue,True,Bomber - Golden,Crossed Out,Square Frame,Emoticon Owl,None,Black,Espresso,Light,Bucket Hat White Kumo Motif,None,None,43.08884321654669,1696
1697,Light Blue,False,Hoodie - Kintsugi 7,Attached Diamonds,Circle Frame,Full Mask,Metal Monkey Staff,Yellow,Porcelain,No Aura Plain,Hat - 7 White,None,None,44.11657698460134,1697
1698,Shooting Stars,None,Bomber - Golden,No Tattoo,Square Frame,Sevens Japanese Mask,No Item,Yellow,Espresso,No Aura,Beanie - Black,None,None,58.65284422421981,1698
1699,Night Sky,False,Hoodie - Tongue,Black Flames,Minimal Frame,Beak Mask - Darkened,Red Space Fork,Orange-Red,Golden,Night,Hat - 7 Wave,0.0,1.0,80.54936121188042,1699
1700,Bananaz!,False,Shirt - Taped Banana,Sakura Petal,Minimal Frame,Full Face Mask - X,None,Yellow,Golden,No Aura Plain,Rice Hat - Sunflower,0.0,1.0,73.69922855951594,1700
1701,Bananaz!,False,Monk,Seven,Square Frame,Beak Mask - Metal,None,Orange-Red,Espresso,Night,Hat - Painted,None,None,23.899313911375213,1701
1702,Night Sky,False,Shirt 7 - White,None,Circle Frame,Game Helmet - Silhouette,Metal Monkey Staff,Black,Porcelain,None,None,None,None,13.61182281620147,1702
1703,Pixel - Day on an Island,False,Bomber - White and Blue,Heart 7,Circle Frame,Elder Skull,None,White,Espresso,Light,Bucket Hat Red Kumo Motif,0.0,1.0,74.87306375311923,1703
1704,Shooting Stars,True,Sweater - Black and Orange,Attached Diamonds,Minimal Frame,Lightning Mask,None,White,Golden,None,Bucket Hat Official,None,None,38.14396237132849,1704
