,Hat Color,Glasses Frame Color,Overall Color,Shirt Color,Boot Color,Pupil Color,Hair Color,Hat,Facial Hair,Glasses,Held Item,Hair Style,Outfit,Gender,Class,Zipper Color,Helmet Glass Color,Glove Color,Suit Color,Pant Color,Shoe Color,Belt Buckle Color,Bandana Color,Belt Color,Tie Color,Life Buoy Color,Robe Color,Lifejacket Color,Miscellaneous,Jumpsuit Color,Foot Color,Vest Color,Apron Color,Special,Shirt Collar Color,Undershirt Color,String Color,Jacket Color,Spatula Color,Dress Color,Frame Color,Pants Color,Lab Coat Color,Fuel Rod Color,Gloves and Boots Color,Fish 1 Color,Skirt Color,Gloves and Foot Color,Horn Color,Hoof Color,Coat Color,Breed,Overalls Color,Shirt Accent Color,Badge Accent 1 Color,Suspender Color,Wool Color,Eye Patch Color,Feather Color,Comb and Wattle Color,Water Tank Color,Track Color,Body Color,Shirt and Pant Color,Sleeve Color,Wheel Color,Skin Color,Rarity score,Token Id
442,Electric Violet,None,None,White,None,Cement,Black,Hard Hat,Chevron Mustache,None,None,Bangs,Captain Uniform Relaxed,Male,Freight Captain,None,None,None,None,White,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Pelorous,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,23.713564763019075,442
443,Armadillo,None,None,Black,Medium Brown,Millbrook,Mine Shaft,Hard Hat,Long Stache and Beard,None,Chainsaw,Payot,Lumberjack Shirt and Braces,Male,Lumberjack,None,None,None,None,Butterfly Bush,None,None,None,Medium Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.821218218055837,443
444,None,None,None,Amethyst Smoke,None,Millbrook,Westar,None,Handlebar Mustache,None,None,Pageboy,Apron,Male,Baker,None,None,None,None,None,Dark Gray,None,None,None,None,None,None,None,None,None,None,None,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13.307249645928165,444
445,Pelorous,Electric Violet,None,Torea Bay,Dark Gray,Millbrook,Westar,Stetson,None,90s,Shovel,Payot,Rancher Outfit,Female,Rancher,None,None,None,None,Japanese Laurel,None,None,Orient,Dark Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,67.47389691876324,445
446,Scarlet,None,None,Black,None,Cement,Cumin,Ivy Cap,English Mustache,None,None,Mop Top,Admiral Uniform,Male,Freight Captain,None,None,None,None,White,Light Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Heliotrope,None,None,None,None,None,None,None,None,None,None,None,None,28.0634001900543,446
447,None,None,None,None,None,Millbrook,Cumin,None,None,None,None,Curly,Miller Bartender,Male,Miller,None,None,None,None,Butterfly Bush,Dark Gray,None,None,Dark Brown,None,None,None,None,None,None,None,Hawaiian Tan,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15.418988372344739,447
448,None,None,None,None,None,Cement,Chicago,None,Goatee Beard,None,Steel,Ponytail,Mad Scientist,Male,Chemical Engineer,None,None,Yellow,None,Cocoa Brown,Dark Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,39.078214890103645,448
449,None,None,None,None,None,Cement,Cod Gray,None,Brush Mustache,None,None,Cornrows,Weaver Outfit Formal,Male,Weaver,None,None,None,None,Twine,Dark Gray,None,None,None,None,None,None,None,None,None,None,Tussock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15.683318445203753,449
450,None,None,None,None,None,Deep Sea Green,Mine Shaft,None,None,None,None,Tonsure,Miller Bartender,Male,Miller,None,None,None,None,Merlin,Dark Gray,None,None,Dark Gray,None,None,None,None,Face Mask,None,None,Armadillo,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,33.862328493706784,450
451,Scarlet,None,Cocoa Brown,Mandy's Pink,None,Blue,Westar,Hard Hat,English Mustache,None,Hoe,Payot,Checkered Shirt and Dungarees,Male,Farmer,None,None,None,None,None,Dark Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,27.259872697102956,451
452,White,None,None,Gimblet,Light Brown,Black,Westar,Ball Cap,Horseshoe Mustache,None,Drill,Ponytail,Life Jacket,Male,Boat Captain,None,None,None,None,White,None,None,None,None,None,None,None,Yellow,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,42.851911542574875,452
453,None,White,None,Armadillo,None,Blue,Cod Gray,None,None,Oval Frame,None,Perm,Transparent Apron,Female,Baker,None,None,None,None,None,Medium Gray,None,None,None,None,None,None,None,None,None,None,None,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,39.68062160493102,453
454,None,None,Gray Olive,Armadillo,None,Millbrook,Cumin,None,Comb Mustache,None,None,Mop Top,Farmer Dungarees,Male,Farmer,None,None,None,None,None,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9.53630755277498,454
455,Screamin' Green,Pelorous,None,Hawaiian Tan,None,Cement,White,Reverse Cap,Bush Beard,90s,Drill,Cornrows,Checkered Lumberjack Shirt,Male,Lumberjack,None,None,None,None,Japanese Laurel,Black,None,None,Dark Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,43.03225528531582,455
456,Screamin' Green,None,Japanese Laurel,Armadillo,None,Blue,White,Straw Hat,Chevron Mustache,None,Chainsaw,Quiff,Farmer Dungarees,Male,Farmer,None,None,None,None,None,Medium Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,27.443837334109638,456
457,Orange,None,Orange,Dull Lavender,None,Millbrook,Cumin,Reverse Cap,None,None,Flask,Payot,Overalls and Utility Belt,Female,Builder,None,None,None,None,None,Dark Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,26.19053965332208,457
458,None,None,Butterfly Bush,Hawaiian Tan,None,Black,Nomad,None,None,None,Shovel,Pageboy,Checkered Shirt and Dungarees,Female,Farmer,None,None,None,None,None,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,21.46994660233201,458
459,None,None,None,None,None,Cement,Cumin,None,Comb Mustache,None,None,Afro,Weaver Outfit Formal,Male,Weaver,None,None,None,None,Merlin,Medium Gray,None,None,None,None,None,None,None,None,None,None,Cream Can,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,16.056420414511212,459
460,Orient,None,Regent Gray,Tussock,None,Millbrook,White,Ball Cap,None,None,Pickaxe,Payot,Muddy Dungarees,Female,Farmer,None,None,None,None,None,Medium Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,26.267764355327916,460
461,None,None,None,Cream Can,None,Blue,Black,None,None,None,None,Perm,Transparent Apron,Female,Baker,None,None,None,None,None,Dark Gray,None,None,None,None,None,None,None,None,None,None,None,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,16.05251960601452,461
462,White,Pelorous,None,Amethyst Smoke,None,Millbrook,Cod Gray,Hard Hat,None,90s,Computer,Payot,Tank Top Belly,Female,Trucker,None,None,None,None,Regent Gray,Light Brown,None,None,Medium Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,47.955458768313655,462
463,Yellow,None,None,None,Black,Blue,Tacha,Stetson,None,None,Spyglass,Lob,Safety Vest and Utility Belt,Female,Builder,None,None,None,None,Orange,None,None,None,None,None,None,None,None,None,None,None,Bandicoot,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,42.28503101115697,463
464,Scarlet,None,None,Gimblet,None,Cement,Cod Gray,Hard Hat,None,None,None,Perm,Medallion,Female,Trucker,None,None,None,None,Butterfly Bush,Dark Brown,None,None,Dark Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,18.670575650954188,464
465,Armadillo,None,Gray Olive,Mandy's Pink,Dark Brown,Black,Black,Hard Hat,Comb Mustache,None,None,Bob,Rancher Checkered Dungarees,Male,Rancher,None,None,None,None,None,None,Medium Gray,Scarlet,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,57.640790280605124,465
466,Yellow,None,None,None,Medium Gray,Blue,Cumin,Reverse Cap,None,None,Pickaxe,Perm,Safety Vest and Utility Belt,Female,Builder,None,None,None,None,Electric Green,None,None,None,None,None,None,None,None,None,None,None,Hawaiian Tan,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,41.84327121404051,466
467,Scarlet,Scarlet,None,Hawaiian Tan,None,Cement,White,Fedora,Long Stache and Beard,90s,Shovel,Payot,Checkered Lumberjack Shirt,Male,Lumberjack,None,None,None,None,Blue,Dark Brown,None,None,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,44.471107104626576,467
468,Yellow,None,None,Amethyst Smoke,None,Millbrook,Mine Shaft,Straw Hat,None,None,Drill,Crew Cut,Checkered Shirt,Female,Factory Worker,None,None,None,None,Black,Light Brown,None,None,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,25.42215894651057,468
469,None,None,None,None,None,Millbrook,Chicago,None,Pencil Mustache,VR,None,Afro,Weaver Outfit Formal,Male,Weaver,None,None,None,None,Regent Gray,Dark Brown,None,None,None,None,None,None,None,None,None,None,Mandy's Pink,None,None,None,None,None,None,None,None,Electric Violet,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,42.297356610590825,469
470,Scarlet,Screamin' Green,None,Black,Dark Gray,White,Black,Reverse Cap,None,Future,None,Payot,Life Jacket Whistle,Female,Boat Captain,None,None,None,None,Twine,None,None,None,None,None,None,None,Orange,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,57.495154610042306,470
471,Heliotrope,None,None,Armadillo,Black,Black,Mine Shaft,Ivy Cap,Pencil Mustache,None,Hatchet,Side-Swept,Casual Rancher Outfit,Male,Rancher,None,None,None,None,Japanese Laurel,None,None,Orient,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,48.221652878475886,471
472,Yellow,None,None,Hawaiian Tan,None,Cement,Black,Stetson,None,None,Hammer,Long & Tied Up,Miner Checkered Shirt,Female,Miner,None,None,None,None,Butterfly Bush,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dark Brown,None,None,None,None,None,None,None,None,None,None,None,33.21533334841196,472
473,Yellow,Pelorous,None,Gossip,None,Millbrook,Cod Gray,Hard Hat,None,90s,Pickaxe,Long & Tied Up,Open Checkered Shirt and Utility Belt,Female,Builder,None,None,None,None,None,Medium Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Yellow,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,51.46019339393691,473
474,Pelorous,None,None,None,None,Deep Sea Green,Cumin,Fedora,Pencil Mustache,None,None,Mullet,Grand Chef Jacket,Male,Chef,None,None,None,None,Shadow,Medium Brown,None,None,None,None,None,None,None,None,None,None,None,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,29.228540735925662,474
475,Screamin' Green,None,None,Saratoga,None,Black,Westar,Ivy Cap,None,None,None,Afro,Tank Top Belly,Female,Trucker,None,None,None,None,Butterfly Bush,Medium Gray,None,None,Dark Gray,None,None,None,None,Half Bent Pipe,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,36.537547604662784,475
476,None,None,White,White,Dark Brown,Millbrook,Cod Gray,None,Horseshoe Mustache,None,Pickaxe,Ponytail,Pig Farmer,Male,Farmer,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,23.769854133472393,476
477,Pelorous,None,None,Tussock,None,Cement,White,Fedora,Long Stache and Beard,None,Computer,Side-Swept,Checkered Lumberjack Shirt,Male,Lumberjack,None,None,None,None,Black,Dark Gray,None,None,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,22.186500601794172,477
478,White,None,None,Blue,None,Blue,Cumin,Top Hat,English Mustache,None,None,Bangs,Captain Uniform,Male,Freight Captain,None,None,None,None,White,Black,None,None,None,Electric Violet,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.880850385627877,478
479,Scarlet,None,None,Portage,Black,Millbrook,Mine Shaft,Ball Cap,English Mustache,None,Hoe,Bangs,Checkered Rancher Outfit,Male,Rancher,None,None,None,None,Gray Olive,None,None,Pelorous,Medium Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,44.32131189987716,479
480,Scarlet,Screamin' Green,None,White,Black,Black,Cumin,Sailor Hat,Comb Mustache,90s,None,Long Fringe,Life Buoy,Male,Boat Captain,None,None,None,None,Blue Vogue,None,None,None,None,None,Electric Green,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,58.36164177975597,480
481,Scarlet,None,None,Cream Can,Light Brown,Cement,Cumin,Straw Hat,Chevron Mustache,None,Drill,Long Fringe,Life Jacket,Male,Boat Captain,None,None,None,None,Emperor,None,None,None,None,None,None,None,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,38.2244027569524,481
482,Screamin' Green,None,None,White,None,Millbrook,White,Ivy Cap,Pencil Mustache,None,None,Bangs,Captain Uniform Relaxed,Male,Freight Captain,None,None,None,None,Blue,Medium Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Armadillo,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,26.155002003320156,482
483,None,None,None,None,None,Black,None,None,None,None,None,None,None,None,Cranebot,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Yellow,Dark Brown,Pelorous,None,None,None,None,50.67685987082843,483
484,Screamin' Green,None,None,Black,None,Millbrook,Mine Shaft,Hard Hat,Goatee Beard,None,Pickaxe,Tonsure,Checkered Lumberjack Shirt,Male,Lumberjack,None,None,None,None,Butterfly Bush,Medium Gray,None,None,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,23.482814470443437,484
485,Yellow,Scarlet,Yellow,Cream Can,Dark Gray,Blue,Black,Flat Cap,None,Luxury,None,Side-Swept,Overalls and Backpack,Female,Builder,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,49.22077124018116,485
486,Electric Violet,None,None,Pastel Green,Dark Brown,Cement,Black,Hard Hat,None,None,Chainsaw,Cornrows,Checkered Rancher Outfit,Female,Rancher,None,None,None,None,Twine,None,None,Orient,Dark Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,45.1706109711436,486
487,Screamin' Green,None,None,Torea Bay,Dark Gray,Cement,Chicago,Stetson,Chevron Mustache,None,Computer,Afro,Ranch Boss,Male,Rancher,None,None,None,None,Shadow,None,None,None,Light Brown,None,None,None,None,None,None,None,None,None,None,Scarlet,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,46.11961531886007,487
488,Red,None,None,Gimblet,None,Millbrook,Westar,Fedora,None,None,None,Mop Top,Worker Uniform,Female,Factory Worker,None,None,None,None,White,Dark Gray,None,None,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19.026384473463168,488
489,Electric Green,None,None,Armadillo,None,Cement,Chicago,Flat Cap,Long Stache and Beard,None,Computer,Side-Swept,Miner Worker,Male,Miner,None,None,None,None,Blue Vogue,Black,None,None,Medium Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,25.231571319218016,489
490,Pelorous,None,None,Lemon Ginger,White,Cement,Black,Reverse Cap,Handlebar Mustache,None,Flask,Payot,Life Jacket Whistle,Male,Boat Captain,None,None,None,None,Japanese Laurel,None,None,None,None,None,None,None,Yellow,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,36.611754877374636,490
491,Orange,Orient,None,Gossip,None,Black,White,Hard Hat,English Mustache,Luxury,Hatchet,Pageboy,Overalls and Utility Belt,Male,Builder,None,None,None,None,None,Light Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Electric Green,None,None,None,None,None,None,None,None,None,None,None,None,None,None,56.900898076745165,491
492,Electric Green,None,None,Mandy's Pink,None,Millbrook,White,Ivy Cap,Long Stache and Beard,None,Hammer,Hightop,Overalls and Utility Belt,Male,Builder,None,None,None,None,None,Dark Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Pink,None,None,None,None,None,None,None,None,None,None,None,None,None,None,28.30894013216093,492
493,Yellow,None,None,Gossip,None,Cement,Nomad,Ball Cap,Horseshoe Mustache,None,Steel,Afro,Overalls and Utility Belt,Male,Builder,None,None,None,None,None,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Orange,None,None,None,None,None,None,None,None,None,None,None,None,None,None,27.189601574710505,493
494,Screamin' Green,None,None,Lemon Ginger,Black,Black,Cod Gray,Ball Cap,Hungarian Mustache,None,Hammer,Long Fringe,Life Jacket Whistle,Male,Boat Captain,None,None,None,None,Emperor,None,None,None,None,None,None,None,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,41.62962529694082,494
495,None,None,None,None,None,Millbrook,Nomad,None,None,None,None,Bob,Miller Bartender,Male,Miller,None,None,None,None,Cocoa Brown,Medium Brown,None,None,Medium Gray,None,None,None,None,None,None,None,Amethyst Smoke,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,17.162594095117228,495
496,Electric Violet,None,White,Dull Lavender,None,Millbrook,White,Ivy Cap,Brush Mustache,None,Shovel,Curly,Muddy Dungarees,Male,Farmer,None,None,None,None,None,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,23.656316706300508,496
497,Scarlet,None,None,Gimblet,None,Blue,Westar,Ball Cap,Brush Mustache,None,Flask,Bob,Tank Top,Male,Trucker,None,None,None,None,Black,Light Gray,None,None,Dark Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,26.93008298860199,497
498,None,None,None,None,None,Cement,White,None,None,None,None,Long Fringe,Miller Bartender,Male,Miller,None,None,None,None,Paradiso,Medium Gray,None,None,Medium Gray,None,None,None,None,None,None,None,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,16.37673971262425,498
499,Electric Green,Electric Violet,None,Lemon Ginger,None,Cement,None,Reverse Cap,None,Open Frame,None,None,Open Checkered Shirt and Utility Belt,Male,Builder,None,None,None,None,None,Dark Brown,None,None,None,None,None,None,None,None,None,None,None,None,Skeleton,None,None,None,None,None,None,None,Orange,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,54.730037233882115,499
500,Electric Violet,None,None,Terracotta,Light Gray,Millbrook,Black,Fedora,None,None,None,Mop Top,Casual Rancher Outfit,Female,Rancher,None,None,None,None,Regent Gray,None,None,Pelorous,Dark Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,40.53657373639531,500
501,Yellow,Screamin' Green,None,None,Black,Millbrook,Tacha,Ball Cap,None,Heart,Steel,80s,Safety Vest and Utility Belt,Female,Builder,None,None,None,None,Yellow,None,None,None,None,None,None,None,None,None,None,None,Hawaiian Tan,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,60.33995115436483,501
502,Scarlet,None,Mirage,Pastel Green,Black,Blue,Black,Straw Hat,Hungarian Mustache,None,Shovel,Payot,Pig Farmer,Male,Farmer,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.624761690965,502
503,None,None,None,Hawaiian Tan,None,Cement,Black,None,Long Stache and Beard,None,None,Bob,HiVis Jacket,Male,Mechanical Engineer,None,None,None,None,Elm,Dark Brown,None,None,None,None,None,None,None,None,None,None,Orange,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,17.441013342039824,503
504,Pelorous,None,None,Armadillo,Black,Blue,Nomad,Flat Cap,English Mustache,None,Computer,Side-Swept,Life Jacket,Male,Boat Captain,None,None,None,None,Emperor,None,None,None,None,None,None,None,Orange,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,40.05842234935808,504
505,Electric Violet,None,None,Saratoga,None,Cement,Black,Flat Cap,Bush Beard,None,Fork,Bangs,Checkered Lumberjack Shirt,Male,Lumberjack,None,None,None,None,Shadow,Black,None,None,Dark Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,21.65696467210831,505
506,Scarlet,None,None,Bandicoot,None,Blue,Chicago,Straw Hat,None,VR,Fork,Afro,Gingham Lumberjack Dress,Female,Lumberjack,None,None,None,None,None,Medium Gray,None,None,Medium Brown,None,None,None,None,None,None,None,None,None,None,None,Elm,None,None,None,None,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,64.72384538254765,506
507,Orient,None,None,Pastel Green,Dark Gray,Blue,Black,Hard Hat,Long Stache and Beard,None,Fork,Lob,Lumberjack Shirt and Braces,Male,Lumberjack,None,None,None,None,White,None,None,None,Medium Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,33.20334024784562,507
508,Pink,None,Red,Hawaiian Tan,None,Cement,Black,Ivy Cap,None,None,None,Long Fringe,Overalls and Utility Belt,Female,Builder,None,None,None,None,None,Medium Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19.298332469961203,508
509,Pelorous,None,Twine,Tussock,None,Cement,Westar,Straw Hat,Horseshoe Mustache,None,Hammer,Quiff,Muddy Dungarees,Male,Farmer,None,None,None,None,None,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,23.095904502979245,509
510,Scarlet,None,None,White,Medium Gray,Deep Sea Green,Cod Gray,Sailor Hat,Hungarian Mustache,None,Hammer,Long Fringe,Life Buoy,Male,Boat Captain,None,None,None,None,Shadow,None,None,None,None,None,Pink,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,43.42288058332092,510
